Instance,SplitCA,,HSCA,,AutoCCAG,
,size,time,size,time,size,time
XSEngine.cnf,5720,37970.6,- -,- -,- -,- -
aaed2000.cnf,9383,43759.3,- -,- -,- -,- -
adder.cnf,5881,38803.1,- -,- -,- -,- -
adderII.cnf,5912,39806.6,- -,- -,- -,- -
aeb.cnf,5520,32315.9,- -,- -,- -,- -
aim711.cnf,5992,39349.4,- -,- -,- -,- -
aki3068net.cnf,5721,31372.2,- -,- -,- -,- -
am31_sim.cnf,4900,26241.8,- -,- -,- -,- -
asb.cnf,5291,33444.2,- -,- -,- -,- -
asb2305.cnf,5250,19273.5,- -,- -,- -,- -
assabet.cnf,5472,20847.1,- -,- -,- -,- -
at91sam7sek.cnf,5532,23091.1,- -,- -,- -,- -
at91sam7xek.cnf,5920,26862.3,- -,- -,- -,- -
atlas_mips32_4kc.cnf,5761,18037.1,- -,- -,- -,- -
atlas_mips64_5kc.cnf,5767,18410.8,- -,- -,- -,- -
axtls.cnf,652,8.1,568,125.8,554,4061.3
brutus.cnf,5209,30987.2,- -,- -,- -,- -
buildroot.cnf,314,1528.5,263,15939.4,- -,- -
busybox_1_28_0.cnf,1371,13481.4,1178,37231.4,- -,- -
calm16_ceb.cnf,5104,27730.6,- -,- -,- -,- -
calm32_ceb.cnf,5148,27123.2,- -,- -,- -,- -
ceb_v850.cnf,5157,28345.2,- -,- -,- -,- -
cerf.cnf,6298,39100.8,- -,- -,- -,- -
cerfpda.cnf,6314,41472.7,- -,- -,- -,- -
cma230.cnf,5169,30995.8,- -,- -,- -,- -
cma28x.cnf,5042,29656.2,- -,- -,- -,- -
cme555.cnf,5272,36498.6,- -,- -,- -,- -
cq7708.cnf,7619,35059.0,- -,- -,- -,- -
cq7750.cnf,5844,36504.0,- -,- -,- -,- -
csb281.cnf,6200,38643.6,- -,- -,- -,- -
dreamcast.cnf,6565,22008.1,- -,- -,- -,- -
e7t.cnf,6034,39539.5,- -,- -,- -,- -
ea2468.cnf,5987,54800.1,- -,- -,- -,- -
eb40.cnf,5383,34389.1,- -,- -,- -,- -
eb40a.cnf,5389,33135.2,- -,- -,- -,- -
eb42.cnf,5247,34945.8,- -,- -,- -,- -
eb55.cnf,5479,41850.8,- -,- -,- -,- -
ebsa285.cnf,6502,43976.2,- -,- -,- -,- -
ec555.cnf,5280,36844.3,- -,- -,- -,- -
ecos-icse11.cnf,5651,20260.5,- -,- -,- -,- -
edb7xxx.cnf,5855,35796.3,- -,- -,- -,- -
edosk2674.cnf,5612,30275.7,- -,- -,- -,- -
excalibur_arm9.cnf,8064,36889.7,- -,- -,- -,- -
fads.cnf,4959,27929.3,- -,- -,- -,- -
flexanet.cnf,6205,37751.8,- -,- -,- -,- -
freebsd-icse11.cnf,7053,66941.4,- -,- -,- -,- -
frv400.cnf,5719,33836.5,- -,- -,- -,- -
gps4020.cnf,5342,31516.2,- -,- -,- -,- -
grg.cnf,5647,34511.0,- -,- -,- -,- -
h8300h_sim.cnf,4918,27649.1,- -,- -,- -,- -
h8max.cnf,5764,31145.6,- -,- -,- -,- -
h8s_sim.cnf,4923,28027.9,- -,- -,- -,- -
hs7729pci.cnf,9425,45877.2,- -,- -,- -,- -
innovator.cnf,9229,37503.3,- -,- -,- -,- -
integrator_arm7.cnf,5965,34911.1,- -,- -,- -,- -
